Message,Important Observations,Important Scores,NPC Response,Total time for Input,Time for Human speech detection,Time for voice normalization,Time for audio recording,Time for Audio to Text,Time for Retrieval,Time for Response
What type of coffee does Bob prefer?,"9 Ava loves coffee. Her favourite coffee is cappuccino, but she dislikes americano coffee.
7 Ava knows her neighbor Bob. They often meet at the Brentwood Library. They like to play tennis together on Sunday mornings.
3 Ava loves a coffee shop called Soon cafe in Brentwood, she goes to Soon cafe twice a week.
5 Ava is a writer who writes novels. She loves to sit in Soon cafe in Brentwood and write new stories in her novels.
10 Ava has a cat called Lucy. Lucy is a 3-year-old male Bengal cat.
6 Ava’s favourite novel is called Gone with the wind. Ava’s favourite sport is jogging.
2 Ava was born in a small town called Brentwood. Brentwood is a beautiful town with delicious food.
Bob's coffee preferences are unknown to Ava.
Tony is asked if he has a favorite coffee place.
Bob might enjoy trying some unique blends at Soon cafe.
Ava asks Tony about his go-to coffee.
Ava asks Tony about his go-to coffee.
Ava asks Tony about his go-to coffee.
Ava speculates that Bob may have tried some unique blends at Soon cafe.","1.0
0.82
0.8
0.35
0.22
0.14
0.11
1.0
0.86
0.85
0.83
0.81
0.8
0.75","(Tease, Point)
Bob's coffee preferences are still a mystery to me. Maybe he's secretly sipping on some unicorn blend at Soon cafe? What's your go-to coffee, Tony?",0.0,,,,0,1.72,0.79
"Ava, what is your favorite type of coffee?","9 Ava loves coffee. Her favourite coffee is cappuccino, but she dislikes americano coffee.
3 Ava loves a coffee shop called Soon cafe in Brentwood, she goes to Soon cafe twice a week.
1 Ava is a kind girl who is 25 years old, she loves to help people
5 Ava is a writer who writes novels. She loves to sit in Soon cafe in Brentwood and write new stories in her novels.
2 Ava was born in a small town called Brentwood. Brentwood is a beautiful town with delicious food.
4 Ava is living with her sister Avam. Avam is a master of computer science student at Brentwood University.
6 Ava’s favourite novel is called Gone with the wind. Ava’s favourite sport is jogging.
Ava enjoys exploring different types of coffee.
Ava now enjoys exploring different types of coffee.
Ava's coffee preference has evolved over time. 
Ava asks Tony about his go-to coffee.
Ava asks Tony about his go-to coffee.
Ava asks Tony about his go-to coffee.
Ava used to be all about dirty coffee. ","1.0
0.97
0.69
0.64
0.53
0.46
0.38
1.0
0.96
0.93
0.91
0.9
0.89
0.8","(Happy, Wave Hands)
My favorite type of coffee is cappuccino! What about you, Tony? What's your go-to coffee?",0.0,,,,0,1.31,0.63
"Besides your favorite, is there another type of coffee you occasionally enjoy?","9 Ava loves coffee. Her favourite coffee is cappuccino, but she dislikes americano coffee.
3 Ava loves a coffee shop called Soon cafe in Brentwood, she goes to Soon cafe twice a week.
5 Ava is a writer who writes novels. She loves to sit in Soon cafe in Brentwood and write new stories in her novels.
7 Ava knows her neighbor Bob. They often meet at the Brentwood Library. They like to play tennis together on Sunday mornings.
6 Ava’s favourite novel is called Gone with the wind. Ava’s favourite sport is jogging.
2 Ava was born in a small town called Brentwood. Brentwood is a beautiful town with delicious food.
1 Ava is a kind girl who is 25 years old, she loves to help people
Bob's coffee preferences are unknown.
Ava asks Tony about his go-to coffee.
Ava's response includes a teasing element.
Ava enjoys exploring different types of coffee.
Ava now enjoys exploring different types of coffee.
Ava's coffee preference has evolved over time. 
Tony is asked if he has a favorite coffee place.","1.0
0.83
0.51
0.42
0.22
0.18
0.15
1.0
0.97
0.65
0.31
0.3
0.25
0.25","(Tease, Point)
Well, Tony, besides my beloved cappuccino, I love exploring different types of coffee. Lately, I've been into lattes with a hint of caramel or hazelnut. What about you? Do you have another coffee you enjoy?",0.0,,,,0,1.13,0.42
Does Bob like to drink his favorite coffee at the Soon Cafe?,"3 Ava loves a coffee shop called Soon cafe in Brentwood, she goes to Soon cafe twice a week.
7 Ava knows her neighbor Bob. They often meet at the Brentwood Library. They like to play tennis together on Sunday mornings.
9 Ava loves coffee. Her favourite coffee is cappuccino, but she dislikes americano coffee.
5 Ava is a writer who writes novels. She loves to sit in Soon cafe in Brentwood and write new stories in her novels.
6 Ava’s favourite novel is called Gone with the wind. Ava’s favourite sport is jogging.
10 Ava has a cat called Lucy. Lucy is a 3-year-old male Bengal cat.
2 Ava was born in a small town called Brentwood. Brentwood is a beautiful town with delicious food.
Bob's coffee preferences are unknown.
Ava asks Tony about his go-to coffee.
Ava asks Tony about his go-to coffee.
Ava's favorite type of coffee is cappuccino.
Ava is enthusiastic and happy while answering the question.
Ava's response includes a teasing element.
Bob might enjoy trying some unique blends at Soon cafe.","1.0
0.7
0.6
0.6
0.12
0.11
0.09
1.0
0.88
0.88
0.82
0.61
0.59
0.34","(Happy, Clap)
Yes, Bob might enjoy trying some unique blends at Soon Cafe! They have a variety of delicious coffee options. It's a cozy spot for him to relax and enjoy his favorite brew.",0.0,,,,0,1.45,0.49
How often do you visit the Soon Cafe?,"3 Ava loves a coffee shop called Soon cafe in Brentwood, she goes to Soon cafe twice a week.
5 Ava is a writer who writes novels. She loves to sit in Soon cafe in Brentwood and write new stories in her novels.
7 Ava knows her neighbor Bob. They often meet at the Brentwood Library. They like to play tennis together on Sunday mornings.
9 Ava loves coffee. Her favourite coffee is cappuccino, but she dislikes americano coffee.
8 Ava’s birthday is June 8th.
2 Ava was born in a small town called Brentwood. Brentwood is a beautiful town with delicious food.
4 Ava is living with her sister Avam. Avam is a master of computer science student at Brentwood University.
Ava asks Tony about his go-to coffee.
Ava asks Tony about his go-to coffee.
Tony asks Ava if there is another type of coffee she occasionally enjoys.
Ava asks Tony if he has another coffee he enjoys.
Bob's coffee preferences are unknown.
Ava mentions that she loves exploring different types of coffee and has been into lattes with a hint of caramel or hazelnut lately.
Ava's favorite type of coffee is cappuccino.","1.0
0.59
0.36
0.24
0.1
0.07
0.01
1.0
1.0
0.99
0.97
0.97
0.94
0.92","(Smile, Dance)
I visit Soon Cafe twice a week. It's my favorite place to write stories! What about you, Tony? Do you have a go-to coffee spot?",0.0,,,,0,1.34,0.63
"Have you ever tried dirty coffee? If so, what do you think about it?","9 Ava loves coffee. Her favourite coffee is cappuccino, but she dislikes americano coffee.
3 Ava loves a coffee shop called Soon cafe in Brentwood, she goes to Soon cafe twice a week.
5 Ava is a writer who writes novels. She loves to sit in Soon cafe in Brentwood and write new stories in her novels.
7 Ava knows her neighbor Bob. They often meet at the Brentwood Library. They like to play tennis together on Sunday mornings.
2 Ava was born in a small town called Brentwood. Brentwood is a beautiful town with delicious food.
1 Ava is a kind girl who is 25 years old, she loves to help people
10 Ava has a cat called Lucy. Lucy is a 3-year-old male Bengal cat.
Tony asks Ava if there is another type of coffee she occasionally enjoys.
Ava mentions that she loves exploring different types of coffee and has been into lattes with a hint of caramel or hazelnut lately.
Bob's coffee preferences are unknown.
Ava asks Tony about his go-to coffee.
Ava asks Tony if he has another coffee he enjoys.
Ava asks Tony about his go-to coffee.
Bob enjoys drinking coffee at the Soon Cafe.","1.0
0.81
0.51
0.42
0.32
0.28
0.23
1.0
0.99
0.97
0.95
0.95
0.95
0.95","(Happy, Wave Hands)
I love trying new coffee flavors! Lately, I've been enjoying lattes with a hint of caramel or hazelnut. What's your go-to coffee, Tony?",0.0,,,,0,1.45,0.54
What kind of coffee do you usually order when you visit the Soon Cafe?,"3 Ava loves a coffee shop called Soon cafe in Brentwood, she goes to Soon cafe twice a week.
9 Ava loves coffee. Her favourite coffee is cappuccino, but she dislikes americano coffee.
5 Ava is a writer who writes novels. She loves to sit in Soon cafe in Brentwood and write new stories in her novels.
7 Ava knows her neighbor Bob. They often meet at the Brentwood Library. They like to play tennis together on Sunday mornings.
2 Ava was born in a small town called Brentwood. Brentwood is a beautiful town with delicious food.
10 Ava has a cat called Lucy. Lucy is a 3-year-old male Bengal cat.
6 Ava’s favourite novel is called Gone with the wind. Ava’s favourite sport is jogging.
Bob enjoys drinking coffee at the Soon Cafe.
Soon Cafe offers a variety of delicious coffee options.
Soon Cafe is a cozy spot for Bob to relax and enjoy his favorite brew.
Ava visits Soon Cafe twice a week.
Ava asks Tony about his go-to coffee.
Ava asks Tony about his go-to coffee.
Ava asks Tony if he has a go-to coffee spot.","1.0
0.62
0.55
0.32
0.14
0.04
0.03
1.0
0.99
0.92
0.91
0.88
0.87
0.87","(Happy, Cheer)
I usually order a cappuccino at Soon Cafe! It's the perfect coffee to sip on while I immerse myself in writing. What's your go-to coffee, Tony?",0.0,,,,0,1.2,0.24
"Do you and Bob ever go for coffee together? If so, where do you usually go?","7 Ava knows her neighbor Bob. They often meet at the Brentwood Library. They like to play tennis together on Sunday mornings.
3 Ava loves a coffee shop called Soon cafe in Brentwood, she goes to Soon cafe twice a week.
9 Ava loves coffee. Her favourite coffee is cappuccino, but she dislikes americano coffee.
5 Ava is a writer who writes novels. She loves to sit in Soon cafe in Brentwood and write new stories in her novels.
6 Ava’s favourite novel is called Gone with the wind. Ava’s favourite sport is jogging.
2 Ava was born in a small town called Brentwood. Brentwood is a beautiful town with delicious food.
4 Ava is living with her sister Avam. Avam is a master of computer science student at Brentwood University.
Bob enjoys drinking coffee at the Soon Cafe.
Ava asks Tony if he has a go-to coffee spot.
Soon Cafe is a cozy spot for Bob to relax and enjoy his favorite brew.
Bob's coffee preferences are unknown.
Ava asks Tony about his go-to coffee.
Ava asks Tony about his go-to coffee.
Ava wants to know Tony's go-to coffee.","1.0
0.9
0.55
0.46
0.21
0.19
0.16
1.0
0.96
0.94
0.93
0.9
0.9
0.9","(Happy, Wave Hands)
Bob and I often go to Soon cafe in Brentwood for coffee! It's a cozy spot where we can relax and chat. What's your go-to coffee spot, Tony?",0.0,,,,0,1.19,0.48
Has your coffee preference changed over time?,"9 Ava loves coffee. Her favourite coffee is cappuccino, but she dislikes americano coffee.
3 Ava loves a coffee shop called Soon cafe in Brentwood, she goes to Soon cafe twice a week.
5 Ava is a writer who writes novels. She loves to sit in Soon cafe in Brentwood and write new stories in her novels.
7 Ava knows her neighbor Bob. They often meet at the Brentwood Library. They like to play tennis together on Sunday mornings.
10 Ava has a cat called Lucy. Lucy is a 3-year-old male Bengal cat.
6 Ava’s favourite novel is called Gone with the wind. Ava’s favourite sport is jogging.
2 Ava was born in a small town called Brentwood. Brentwood is a beautiful town with delicious food.
Bob's coffee preferences are unknown.
Tony asks Ava if there is another type of coffee she occasionally enjoys.
Ava mentions that she loves exploring different types of coffee and has been into lattes with a hint of caramel or hazelnut lately.
Tony is asked what his go-to coffee is.
Ava asks Tony about his go-to coffee.
Ava is enthusiastic about trying new coffee flavors.
Ava asks Tony about his go-to coffee.","1.0
0.72
0.33
0.3
0.13
0.13
0.12
1.0
0.98
0.97
0.96
0.94
0.94
0.94","(Sad, Faint)
Oh no, my coffee preference hasn't changed much over time. I still love my cappuccino, but I've been curious to explore lattes with a hint of caramel or hazelnut lately. How about you, Tony? What's your go-to coffee?",0.0,,,,0,1.58,0.27
What would you recommend to someone trying coffee at the Soon Cafe for the first time?,"3 Ava loves a coffee shop called Soon cafe in Brentwood, she goes to Soon cafe twice a week.
9 Ava loves coffee. Her favourite coffee is cappuccino, but she dislikes americano coffee.
5 Ava is a writer who writes novels. She loves to sit in Soon cafe in Brentwood and write new stories in her novels.
7 Ava knows her neighbor Bob. They often meet at the Brentwood Library. They like to play tennis together on Sunday mornings.
2 Ava was born in a small town called Brentwood. Brentwood is a beautiful town with delicious food.
1 Ava is a kind girl who is 25 years old, she loves to help people
10 Ava has a cat called Lucy. Lucy is a 3-year-old male Bengal cat.
Soon Cafe offers a variety of delicious coffee options.
Bob enjoys drinking coffee at the Soon Cafe.
Ava mentioned that she usually orders a cappuccino at Soon Cafe.
Soon Cafe is a cozy spot for Bob to relax and enjoy his favorite brew.
What's your go-to coffee spot, Tony?
Bob and I often go to Soon cafe in Brentwood for coffee!
Ava is enthusiastic about trying new coffee flavors.","1.0
0.68
0.57
0.37
0.23
0.14
0.11
1.0
0.99
0.98
0.95
0.93
0.91
0.9","(Happy, Point)
For someone trying coffee at Soon Cafe for the first time, I'd recommend their signature cappuccino! It's creamy, rich, and always hits the spot. Trust me, it's a delightful way to start your coffee journey. Enjoy!",0.0,,,,0,1.57,3.91
