Question,relevant Observations (n=5),Score,Hit/Miss,Response,Average
Hi John! Tell me about your family,John Lin loves his family very much,1,1,"My family is the most important thing to me, Katie. I have a lovely wife named Mei Lin, who is a college professor, and a talented son named Eddy, who is 
studying music theory. We all enjoy spending time together and supporting each other's passions.",0.4
Hi John! Tell me about your family,John Lin loves to help people,0.700715855,,,
Hi John! Tell me about your family,"John Lin has known the old couple next-door, Sam Moore and Jennifer Moore, for a few years",0.60681511,0,,
Hi John! Tell me about your family,"John Lin is living with his wife, Mei Lin, who is a college professor, and son, Eddy Lin, who is a student studying music theory",0.581899564,1,,
Hi John! Tell me about your family,"John Lin knows of his neighbors, Tamara Taylor and Carmen Ortiz, but has not met them before",0.573718554,0,,
Oh that's good to know! Do you like music?,John Lin thinks Sam Moore is a kind and nice man,1,0,"Yes, I love music! My son, Eddy, is actually studying music theory. It's amazing to see how passionate he is about it.",0.375
Oh that's good to know! Do you like music?,"John Lin is living with his wife, Mei Lin, who is a college professor, and son, Eddy Lin, who is a student studying music theory",0.945830968,1,,
Oh that's good to know! Do you like music?,John Lin loves to help people,0.881913892,0,,
Oh that's good to know! Do you like music?,John Lin is always looking for ways to make the process of getting medication easier for his customers,0.868631337,0,,
Oh that's good to know! Do you like music?,John Lin loves his family very much,0.85907361,0,,
Oh that's good to know! Do you like music?,John's son Eddy is studying music theory.,1,1,,
Oh that's good to know! Do you like music?,John's family is important to him.,0.236056044,1,,
Oh that's good to know! Do you like music?,John's wife is named Mei Lin and she is a college professor.,0,0,,
Who are your favourite artists?,"John Lin is living with his wife, Mei Lin, who is a college professor, and son, Eddy Lin, who is a student studying music theory",1,1,"I have quite a few favorite artists, but if I have to choose, I really admire the works of Vincent van Gogh and Frida Kahlo. They both had such unique and expressive styles that really resonate with me. How about you, Katie? Who are your favorite artists?",0.125
Who are your favourite artists?,John Lin loves his family very much,0.843236233,0,,
Who are your favourite artists?,John Lin and Tom Moreno are colleagues at The Willows Market and Pharmacy,0.826026445,0,,
Who are your favourite artists?,"John Lin has known the old couple next-door, Sam Moore and Jennifer Moore, for a few years",0.823809071,0,,
Who are your favourite artists?,John Lin thinks Sam Moore is a kind and nice man,0.783611157,0,,
Who are your favourite artists?,Eddy is passionate about music.,1,0,,
Who are your favourite artists?,John Lin loves music.,0.861301128,0,,
Who are your favourite artists?,"John Lin's son, Eddy, is studying music theory.",0.715075806,0,,
Who are your favourite artists?,John's son Eddy is studying music theory.,0.658769355,0,,
Who are your favourite artists?,John's family is important to him.,0.132613298,0,,
I like Linkin Park!,John Lin loves to help people,1,0,That's great to hear! Linkin Park is a fantastic band. They have created some amazing music over the years. What's your favorite song by them?,0.2
I like Linkin Park!,John Lin thinks Sam Moore is a kind and nice man,0.724426243,0,,
I like Linkin Park!,John Lin and Tom Moreno are friends and like to discuss local politics together,0.675359151,0,,
I like Linkin Park!,John Lin loves his family very much,0.554436511,0,,
I like Linkin Park!,John Lin is always looking for ways to make the process of getting medication easier for his customers,0.449531694,0,,
I like Linkin Park!,John Lin mentions that he has quite a few favorite artists. ,1,0,,
I like Linkin Park!,John Lin loves music.,0.899590985,1,,
I like Linkin Park!,Eddy is passionate about music.,0.754822989,0,,
I like Linkin Park!,John Lin asks Katie about her favorite artists.,0.701087245,1,,
I like Linkin Park!,"John Lin's son, Eddy, is studying music theory.",0.50390495,0,,
"""What I have done"" is my favourite song from Linkin Park!",John Lin loves to help people,1,0,"That's great to hear, Katie! ""What I've Done"" is a fantastic song by Linkin Park. They have so many amazing tracks. What other songs of theirs do you enjoy?",0.3
"""What I have done"" is my favourite song from Linkin Park!",John Lin thinks Sam Moore is a kind and nice man,0.753601531,0,,
"""What I have done"" is my favourite song from Linkin Park!",John Lin loves his family very much,0.691817191,0,,
"""What I have done"" is my favourite song from Linkin Park!","John Lin has known the old couple next-door, Sam Moore and Jennifer Moore, for a few years",0.673910839,0,,
"""What I have done"" is my favourite song from Linkin Park!",John Lin is always looking for ways to make the process of getting medication easier for his customers,0.442407105,0,,
"""What I have done"" is my favourite song from Linkin Park!",John Lin asks Katie about her favorite song by Linkin Park.,1,1,,
"""What I have done"" is my favourite song from Linkin Park!",John Lin expresses his appreciation for Linkin Park as a band.,0.904110062,1,,
"""What I have done"" is my favourite song from Linkin Park!",John Lin responds positively to Katie's statement about liking Linkin Park.,0.878314014,1,,
"""What I have done"" is my favourite song from Linkin Park!",Eddy is passionate about music.,0.725781102,0,,
"""What I have done"" is my favourite song from Linkin Park!",John Lin mentions that he has quite a few favorite artists. ,0.708400047,0,,
Enough about me! Tell me your favourite track from the band,John Lin loves his family very much,1,0,"My favorite track from Linkin Park is ""In the End."" It's a powerful song with meaningful lyrics and a catchy melody. What about you, Katie? What's your favorite Linkin Park song besides ""What I've Done""?",0.3
Enough about me! Tell me your favourite track from the band,John Lin loves to help people,0.958659217,0,,
Enough about me! Tell me your favourite track from the band,John Lin thinks Sam Moore is a kind and nice man,0.843115194,0,,
Enough about me! Tell me your favourite track from the band,"John Lin is living with his wife, Mei Lin, who is a college professor, and son, Eddy Lin, who is a student studying music theory",0.727691628,0,,
Enough about me! Tell me your favourite track from the band,"John Lin has known the old couple next-door, Sam Moore and Jennifer Moore, for a few years",0.546473649,0,,
Enough about me! Tell me your favourite track from the band,"Katie's favorite song from Linkin Park is ""What I've Done"".",1,1,,
Enough about me! Tell me your favourite track from the band,John Lin wants to know what other songs Katie enjoys from Linkin Park.,0.865809779,1,,
Enough about me! Tell me your favourite track from the band,John Lin mentions that he has quite a few favorite artists. ,0.857015949,0,,
Enough about me! Tell me your favourite track from the band,Eddy is passionate about music.,0.817161672,0,,
Enough about me! Tell me your favourite track from the band,John Lin asks Katie about her favorite song by Linkin Park.,0.780723292,1,,
