Message,Important Observations,Important Scores,NPC Response,Total time for Input,Time for Human speech detection,Time for voice normalization,Time for audio recording,Time for Audio to Text,Time for Retrieval,Time for Response
I received my job offer today! They're offering me a very high salary.,"Ava is a kind girl who is 25 years old, she loves to help people.
Ava is a writer who writes novels. She loves to sit in Soon cafe in Brentwood and write new stories in her novels.
Ava is living with her sister Avam. Avam is a master of computer science student at Brentwood University.
Ava was born in a small town called Brentwood. Brentwood is a beautiful town with delicious food.
Ava loves a coffee shop called Soon cafe in Brentwood, she goes to Soon cafe twice a week.
1. Tony received a job offer with a high salary.
Ava asks Tony about the job offer he received.
2. Ava congratulated Tony on his job offer.","1.0
0.99
0.91
0.86
0.8
1.0
0.67
0.64","(Happy, Clap)
Congratulations, Tony! That's fantastic news! Tell me more about your new job.",0.0,,,,0,1.26,0.55
My mother passed away today. It's been a tough time for the family.,"Ava's favourite novel is called Gone with the wind. Ava's favourite sport is jogging.
Ava's birthday is June 8th.
Ava is living with her sister Avam. Avam is a master of computer science student at Brentwood University.
Ava is a kind girl who is 25 years old, she loves to help people.
Ava has a cat called Lucy. Lucy is a 3-year-old male Bengal cat.
Tony shared the news of his mother's passing.
Ava encouraged Tony to take his time to grieve and reminded him of the support from his family and friends.
Ava expressed her condolences and sympathy towards Tony.","1.0
0.9
0.79
0.71
0.62
1.0
0.59
0.54","(Sad, Faint)
I'm so sorry to hear about your loss, Tony. Take all the time you need to grieve. Remember, your family and friends are here to support you.",0.0,,,,0,1.07,0.42
I just booked my dream vacation to Hawaii! Can't wait to explore.,"Ava's favourite novel is called Gone with the wind. Ava's favourite sport is jogging.
Ava is a writer who writes novels. She loves to sit in Soon cafe in Brentwood and write new stories in her novels.
Ava's birthday is June 8th.
Ava loves a coffee shop called Soon cafe in Brentwood, she goes to Soon cafe twice a week.
Ava knows her neighbor Bob. They often meet at the Brentwood Library. They like to play tennis together on Sunday mornings.
Ava mentions that Hawaii is a paradise waiting to be explored.
Ava congratulates Tony on booking his dream vacation to Hawaii.
Ava acknowledges that family trips are filled with memories.","1.0
0.94
0.79
0.53
0.4
1.0
0.84
0.44","(Happy, Cheer)
That's amazing, Tony! Hawaii is a paradise waiting to be explored. You must be thrilled! Have a fantastic time making unforgettable memories. 🌴🌺",0.0,,,,0,1.02,0.2
"I have my final exams next week and I'm feeling really nervous."" ","Ava is a writer who writes novels. She loves to sit in Soon cafe in Brentwood and write new stories in her novels.
Ava knows her neighbor Bob. They often meet at the Brentwood Library. They like to play tennis together on Sunday mornings.
Ava's favourite novel is called Gone with the wind. Ava's favourite sport is jogging.
Ava is living with her sister Avam. Avam is a master of computer science student at Brentwood University.
Ava loves a coffee shop called Soon cafe in Brentwood, she goes to Soon cafe twice a week.
Ava offers practical advice to help Tony prepare for his exams.
Ava encourages Tony to stay positive and confident.
Ava is supportive and encouraging.","1.0
0.91
0.9
0.81
0.67
1.0
0.41
0.39","(Happy, Wave Hands)
Don't worry, Tony! You've got this! Take deep breaths, stay organized, and break your study sessions into manageable chunks. You'll rock those exams! 💪📚",0.0,,,,0,1.07,0.46
Someone scratched my car in the parking lot and didn't leave a note.,"Ava knows her neighbor Bob. They often meet at the Brentwood Library. They like to play tennis together on Sunday mornings.
Ava is a writer who writes novels. She loves to sit in Soon cafe in Brentwood and write new stories in her novels.
Ava loves a coffee shop called Soon cafe in Brentwood, she goes to Soon cafe twice a week.
Ava has a cat called Lucy. Lucy is a 3-year-old male Bengal cat.
Ava is a kind girl who is 25 years old, she loves to help people.
Tony mentions that someone scratched his car in the parking lot and did not leave a note.
Ava expresses confusion with a gesture.
- Tony received a call from an old friend from high school.","1.0
0.75
0.41
0.38
0.3
1.0
0.22
0.21","(Happy, Wave Hands)
Oh no, that's terrible! I'm sorry to hear about your car, Tony. People should definitely be more considerate. Is there any way I can help you?",0.0,,,,0,1.13,0.2
My old friend from high school just called me out of the blue!,"Ava knows her neighbor Bob. They often meet at the Brentwood Library. They like to play tennis together on Sunday mornings.
Ava is a kind girl who is 25 years old, she loves to help people.
Ava's favourite novel is called Gone with the wind. Ava's favourite sport is jogging.
Ava has a cat called Lucy. Lucy is a 3-year-old male Bengal cat.
Ava is living with her sister Avam. Avam is a master of computer science student at Brentwood University.
- Tony received a call from an old friend from high school.
- Ava expresses happiness and cheerfulness about Tony's friend reaching out.
- Ava asks how the conversation went between Tony and his old friend.","1.0
0.5
0.48
0.46
0.44
1.0
0.46
0.44","(Happy, Cheer)
That's wonderful, Tony! It's always a delight to reconnect with old friends. How did the conversation go? Did you have a chance to catch up on all the memories and stories from high school?",0.0,,,,0,1.09,0.27
I was going through old photos and came across our family trip to the mountains.,"Ava was born in a small town called Brentwood. Brentwood is a beautiful town with delicious food.
Ava's favourite novel is called Gone with the wind. Ava's favourite sport is jogging.
Ava knows her neighbor Bob. They often meet at the Brentwood Library. They like to play tennis together on Sunday mornings.
Ava's birthday is June 8th.
Ava is a writer who writes novels. She loves to sit in Soon cafe in Brentwood and write new stories in her novels.
Ava acknowledges that family trips are filled with memories.
Ava asks Tony about the most memorable moment from the family trip to the mountains.
Ava describes Hawaii as a paradise waiting to be explored.","1.0
0.9
0.84
0.71
0.58
1.0
0.99
0.6","(Happy, Clap)
That sounds like a wonderful discovery, Tony! Family trips to the mountains are always filled with precious memories. What was the most memorable moment from that trip?",0.0,,,,0,1.07,0.27
I've started a new fitness routine and I'm really hoping to see some positive changes.,"Ava's favourite novel is called Gone with the wind. Ava's favourite sport is jogging.
Ava knows her neighbor Bob. They often meet at the Brentwood Library. They like to play tennis together on Sunday mornings.
Ava loves a coffee shop called Soon cafe in Brentwood, she goes to Soon cafe twice a week.
Ava is a kind girl who is 25 years old, she loves to help people.
Ava is a writer who writes novels. She loves to sit in Soon cafe in Brentwood and write new stories in her novels.
Tony has started a new fitness routine.
Ava believes that Tony will see positive changes with his new fitness routine.
Ava encourages Tony to stay positive and confident.","1.0
0.95
0.83
0.73
0.68
1.0
0.9
0.4","(Happy, Cheer)
That's wonderful, Tony! I'm so happy to hear that you've started a new fitness routine. Stay positive and confident, and I believe you'll see some amazing changes! 💪😄",0.0,,,,0,1.37,0.46
The concert I've been looking forward to for months just got cancelled.,"Ava's birthday is June 8th.
Ava loves a coffee shop called Soon cafe in Brentwood, she goes to Soon cafe twice a week.
Ava is a writer who writes novels. She loves to sit in Soon cafe in Brentwood and write new stories in her novels.
Ava has a cat called Lucy. Lucy is a 3-year-old male Bengal cat.
Ava's favourite novel is called Gone with the wind. Ava's favourite sport is jogging.
Ava is responding to Tony's statement about feeling nervous about his final exams next week.
Tony shares that his mother passed away.
Tony received a call from an old friend from high school.","1.0
0.96
0.85
0.66
0.63
1.0
0.97
0.8","(Sad, Faint)
Oh no, that's disappointing. I can imagine how much you were looking forward to it. Maybe we can find another way to make up for it?",0.0,,,,0,1.12,0.24
Message,Important Observations,Important Scores,NPC Response,Total time for Input,Time for Human speech detection,Time for voice normalization,Time for audio recording,Time for Audio to Text,Time for Retrieval,Time for Response
