Questions,relevant Observations,Score,Hit/Miss,Response,
Hi John! Do you know about Katie?,John Lin thinks Sam Moore is a kind and nice man,1,0,"Yes, I know Katie. She's a friend of mine. What would you like to know about her?",0.33
Hi John! Do you know about Katie?,"John Lin has known the old couple next-door, Sam Moore and Jennifer Moore, for a few years",0.785221761,0,,
Hi John! Do you know about Katie?,John Lin loves to help people,0.527911282,0,,
Hi John! Do you know about Katie?,John Lin asks Katie about her favorite artists.,1,1,,
Hi John! Do you know about Katie?,John Lin asks Katie about her favorite song by Linkin Park.,0.944524681,0,,
Hi John! Do you know about Katie?,John Lin wants to know what other songs Katie enjoys from Linkin Park.,0.890031629,1,,
I wanted to know what her favourtie music is,John Lin loves to help people,1,0,"Katie's favorite music is a mix of indie pop and alternative rock. She particularly enjoys bands like The Strokes, Vampire Weekend, and Arctic Monkeys.  ",0.33
I wanted to know what her favourtie music is,"John Lin is living with his wife, Mei Lin, who is a college professor, and son, Eddy Lin, who is a student studying music theory",0.807201497,0,,
I wanted to know what her favourtie music is,John Lin thinks Sam Moore is a kind and nice man,0.713848465,0,,
I wanted to know what her favourtie music is,John Lin is willing to provide information about Katie.,1,1,,
I wanted to know what her favourtie music is,John Lin knows Katie and considers her a friend.,0.945499273,1,,
I wanted to know what her favourtie music is,The conversation between John Lin and Anthony is friendly and casual.,0.752857072,0,,
Didn't Katie like Linkin Park?,John Lin thinks Sam Moore is a kind and nice man,1,0,"Yes, Katie is a big fan of Linkin Park. She really enjoys their music and has been to several of their concerts.",0.33
Didn't Katie like Linkin Park?,"John Lin has known the old couple next-door, Sam Moore and Jennifer Moore, for a few years",0.627976936,0,,
Didn't Katie like Linkin Park?,"John Lin knows of his neighbors, Tamara Taylor and Carmen Ortiz, but has not met them before",0.606302283,0,,
Didn't Katie like Linkin Park?,John Lin knows Katie and considers her a friend.,1,1,,
Didn't Katie like Linkin Park?,Katie's favorite music is a mix of indie pop and alternative rock.,0.960307625,0,,
Didn't Katie like Linkin Park?,John Lin has knowledge about Katie's music preferences.,0.950714067,1,,
What was a her favourtie song from Linkin Park again?,"John Lin has known the old couple next-door, Sam Moore and Jennifer Moore, for a few years",1,0,"Katie's favorite song from Linkin Park is ""Numb."" She finds it very relatable and loves the emotion behind it.",0.16
What was a her favourtie song from Linkin Park again?,John Lin loves to help people,0.931612057,0,,
What was a her favourtie song from Linkin Park again?,John Lin thinks Sam Moore is a kind and nice man,0.819252113,0,,
What was a her favourtie song from Linkin Park again?,Katie is a big fan of Linkin Park.,1,1,,
What was a her favourtie song from Linkin Park again?,She really enjoys their music.,0.817649365,0,,
What was a her favourtie song from Linkin Park again?,She has been to several of their concerts.,0.787057501,0,,
,,,,,
,,,,,
,MAP @3 : 0.2875,,,,
