Question,Observations,Score,Hit/Miss,Response,
Hi John! Do you remember Katie?,John Lin thinks Sam Moore is a kind and nice man,1,0,"Of course, Anthony! I remember Katie. How could I forget? She's a dear friend. What would you like to know about her?",0.2
Hi John! Do you remember Katie?,"John Lin has known the old couple next-door, Sam Moore and Jennifer Moore, for a few years",0.98320798,0,,
Hi John! Do you remember Katie?,John Lin loves his family very much,0.528474342,0,,
Hi John! Do you remember Katie?,John Lin loves to help people,0.497226239,0,,
Hi John! Do you remember Katie?,John Lin is a pharmacy shopkeeper at the Willow Market and Pharmacy,0.385493564,0,,
Hi John! Do you remember Katie?,"Katie's favorite song from Linkin Park is ""What I've Done"".",1,0,,
Hi John! Do you remember Katie?,John Lin asks Katie about her favorite song by Linkin Park.,0.998791256,1,,
Hi John! Do you remember Katie?,John Lin asks Katie about her favorite artists.,0.996616622,1,,
Hi John! Do you remember Katie?,John Lin wants to know what other songs Katie enjoys from Linkin Park.,0.922144941,0,,
Hi John! Do you remember Katie?,"John Lin asks Katie for her favorite Linkin Park song, excluding ""What I've Done"".",0.899462005,0,,
I wanted to know who her favourite artist is,John Lin thinks Sam Moore is a kind and nice man,1,0,"Katie has quite a few favorite artists, but I think her absolute favorite is Ed Sheeran. She loves his heartfelt lyrics and soulful voice.",0.4
I wanted to know who her favourite artist is,"John Lin has known the old couple next-door, Sam Moore and Jennifer Moore, for a few years",0.985673599,0,,
I wanted to know who her favourite artist is,"John Lin knows his neighbor, Yuriko Yamamoto, well",0.956302807,0,,
I wanted to know who her favourite artist is,"John Lin is living with his wife, Mei Lin, who is a college professor, and son, Eddy Lin, who is a student studying music theory",0.627948344,0,,
I wanted to know who her favourite artist is,John Lin loves to help people,0.542927273,0,,
I wanted to know who her favourite artist is,John is willing to provide information about Katie.,1,1,,
I wanted to know who her favourite artist is,John remembers Katie and considers her a dear friend.,0.997559289,1,,
I wanted to know who her favourite artist is,Anthony asked John if he remembers Katie.,0.993463519,0,,
I wanted to know who her favourite artist is,John Lin asks Katie about her favorite artists.,0.847037702,1,,
I wanted to know who her favourite artist is,John Lin mentions that he has quite a few favorite artists. ,0.809583887,1,,
but she mentioned Linkin Park Yesterday,"John Lin knows of his neighbors, Tamara Taylor and Carmen Ortiz, but has not met them before",1,0,"Yes, Katie mentioned Linkin Park yesterday. They're one of her favorite artists.",0.4
but she mentioned Linkin Park Yesterday,John Lin loves to help people,0.986498618,0,,
but she mentioned Linkin Park Yesterday,John Lin and Tom Moreno are friends and like to discuss local politics together,0.93588674,0,,
but she mentioned Linkin Park Yesterday,John Lin is a pharmacy shopkeeper at the Willow Market and Pharmacy,0.931972669,0,,
but she mentioned Linkin Park Yesterday,"John Lin has known the old couple next-door, Sam Moore and Jennifer Moore, for a few years",0.86869569,0,,
but she mentioned Linkin Park Yesterday,John remembers Katie and considers her a dear friend.,1,1,,
but she mentioned Linkin Park Yesterday,John Lin mentioned that Katie has quite a few favorite artists.,0.983001664,1,,
but she mentioned Linkin Park Yesterday,Anthony asked John if he remembers Katie.,0.980236153,0,,
but she mentioned Linkin Park Yesterday,John is willing to provide information about Katie.,0.93892648,1,,
but she mentioned Linkin Park Yesterday,John Lin responds positively to Katie's statement about liking Linkin Park.,0.828366326,1,,
what song from linkin park was her favourite one?,"John Lin has known the old couple next-door, Sam Moore and Jennifer Moore, for a few years",1,0,"Katie's favorite song from Linkin Park is ""What I've Done."" It's a great choice!",0.4
what song from linkin park was her favourite one?,John Lin loves to help people,0.969220386,0,,
what song from linkin park was her favourite one?,John Lin thinks Sam Moore is a kind and nice man,0.827374349,0,,
what song from linkin park was her favourite one?,"John Lin knows of his neighbors, Tamara Taylor and Carmen Ortiz, but has not met them before",0.719727111,0,,
what song from linkin park was her favourite one?,John Lin loves his family very much,0.529879445,0,,
what song from linkin park was her favourite one?,Linkin Park is one of Katie's favorite artists.,1,1,,
what song from linkin park was her favourite one?,Katie mentioned Linkin Park yesterday.,0.856744268,1,,
what song from linkin park was her favourite one?,John Lin is confirming that Katie mentioned Linkin Park.,0.78229678,1,,
what song from linkin park was her favourite one?,John Lin mentioned that Katie has quite a few favorite artists.,0.709128719,0,,
what song from linkin park was her favourite one?,"Katie's favorite song from Linkin Park is ""What I've Done"".",0.65194983,1,,
,,,,,
,,,,,
,MAP @5 : 0.35,,,,
